大类,问题的根因,问题的症状描述
requirement,训练流程定制化不足,LoRA训练缺乏参数配置选项或PP插件支持
bug,功能实现不完整,attn mask条件限制缺失导致计算结果错误
requirement,数据加载机制缺陷,需要分布式数据加载支持以提高系统效率
requirement,计算逻辑优化需求,需重构交叉熵计算以节省通信和计算资源
requirement,模型架构支持缺失,Shardformer中llama等模型缺乏FP8训练支持
requirement,框架功能不完善，缺乏对新模型的支持,用户请求支持CommandR、T5ForTokenClassification、qwen等模型
requirement,框架版本兼容性不足,用户要求升级transformers或mistral版本以适配新特性
requirement,内存管理策略不足,训练大模型时出现OOM问题需要插件支持
requirement,网络协议支持不完整,需要添加IPv4主机初始化支持
requirement,并行计算策略不完善,需要支持4D并行、FlashAttention兼容、分布式优化策略
requirement,文档内容缺失或过时,要求添加dist optim文档侧边栏/更新推理文档
requirement,代码质量管控流程缺失,需要增加precommit配置/PR规范性检查
requirement,性能优化需求,需要预取数据/异步操作/减少CI时间等性能改进
requirement,模块架构需要重构,MoE模块重构、Zero offload功能改进等架构调整
requirement,新功能集成需求,要求添加fp8转换、RPC服务器支持、量化缓存接口等
requirement,API接口不一致,需要保持新旧API接口一致性
requirement,自动化流程不足,需要优化reduce scatter操作/自动分布式优化器转换
requirement,测试覆盖不全面,需要简化测试用例/添加benchmark测试
requirement,开发工具链缺失,缺少docker CI步骤/代码贡献标准流程
requirement,硬件适配不足,需要支持Lazy Init解决CPU内存限制
requirement,新增模型支持需求,需要支持Qwen2、Baichuan 7B/13B TP、LLaMA-3 CPT/ST等新模型适配
requirement,功能扩展与优化,需要添加Shardformer并行输出、分布式优化器集成、LoRA量化支持、FlashDecoding的kvcache量化等功能
requirement,代码重构与维护,需移除无用Triton内核、清理代码结构、解决命名问题、重构梯度钩子管理
requirement,分布式训练需求,请求支持DDP/Zero分布式训练、MoE模块重构、优化器集成及分布式实现
requirement,性能优化需求,需改进KCache布局提升CUDA性能、支持Triton新内核、优化推理模块性能
requirement,框架兼容性升级,需升级Transformers版本至4.39.1、同步代码分支、解决版本依赖冲突
requirement,测试与持续集成优化,需规范GitHub Actions流程、添加测试条件、提升测试精度和稳定性
requirement,开发流程规范化,需完善PR检查清单、添加代码自审机制、规范文档和测试要求
requirement,基础功能补全,需支持忽略EOS token逻辑、多次反向传播、bias_gelu_jit_fused等基础特性
bug,代码同步问题,在合并分支时出现tests timeout等异常问题
bug,配置缺失问题,模型推理示例缺少Llama3配置更新或存在策略BUG
requirement,API简化需求,需要重构pipeline grad ckpt配置等API降低使用复杂度
requirement,第三方组件适配,需传递alibi_slopes参数给flash_attn_varlen_func等深度适配操作
requirement,功能缺失,用户请求新增Tensor Model Parallel在推理过程中的支持
requirement,依赖版本过旧,用户希望支持CUDA 12和Torch 2.2但现有代码基于旧版本
requirement,功能缺失,需要添加Lora Quantization Support功能
requirement,代码重构需求,需用MoeHybridParallelPlugin替换MoEManager并消除依赖
requirement,文档或示例不足,用户请求提供预训练数据格式的示例
requirement,分布式功能不足,用户需要多节点分布式训练和推断的示例代码
requirement,功能缺失,需在Inference模块增加Reduce Utils功能
requirement,硬件兼容性需求,需支持在H800 GPU上运行最新软件环境
requirement,功能优化需求,用户提出ShardFormer/Sequence Parallelism的性能优化请求
requirement,模型版本更新,需要升级transformers版本并更新相关模型实现
requirement,功能缺失,请求添加get_cos_and_sin Kernel数学计算支持
requirement,性能优化需求,需对Zero1/2平台进行CPU卸载和大规模优化
requirement,分布式功能扩展,需加速optimizer offload并添加subgroup参数
requirement,代码标准化需求,需要优化代码风格和宏定义逻辑
requirement,功能扩展需求,需支持自定义mask功能和Shardformer模块更新
requirement,训练策略控制,需添加gradient_checkpointing_ratio和异构分片策略
requirement,模型支持扩展,需支持dit model的layer Parallel功能
requirement,算法优化需求,需优化padding vocabulary size的算法选择
requirement,字符编码支持,需改进正则表达式对Unicode的支持
requirement,跨平台支持,需为Windows系统编译安装包
requirement,新功能发布,需发布Open-Sora 1.0版本模型权重并完善文档
requirement,API重构需求,需重构扩展colo attention的API接口
requirement,精度控制需求,需为Rotary Embedding添加高精度标志
requirement,编译机制限制,当前编译不支持.separate运算符导致函数无法实现
requirement,新技术整合,需整合GaLore技术到框架中
requirement,性能优化需求,需优化rmsnorm算法的CUDA kernel性能
requirement,文档维护需求,需更新open-sora demo文档说明
requirement,功能需求或集成需求,用户希望了解或添加与HuggingFace Accelerate、CUDA图支持、Streaming Output API、同步/异步API服务器、FastAPI集成、vLLM测试支持、NPU支持、Flash Attention补丁、分片模型保存/加载、无填充建模、多架构构建支持等相关的功能
requirement,性能优化需求,用户提出需要优化CUDA内核执行间隔、内存拷贝操作、KVCache内核、RMS Norm中间张量、注意力层/MLP层权重转置、推理批处理调度、训练脚本、评估模块、模型生成过程等性能问题
requirement,工作流程规范需求,涉及PR创建前的检查清单、代码贡献流程管理、文档标准更新、模型/优化器保存加载测试规范等流程改进需求
bug,功能实现缺陷,存在无法支持分片模型保存/加载、Flash Attention优化问题、推理生成配置不符文档、CUDA构建系统兼容性问题等功能性缺陷
bug,资源管理问题,数据并行组导致数据加载吞吐过大、内存分配逻辑需要优化等资源消耗异常
requirement,文档维护需求,需要更新安装命令文档、README翻译文件、推理模块文档等文档维护工作
requirement,硬件兼容性扩展,需要增加NPU设备支持、多架构GPU构建支持等硬件适配需求
requirement,算法实现改进,涉及Speculative Decoding实现、Drafter模型容器添加、Rotary Embedding加速等算法层改进
bug,标签管理缺失,PR未添加必要标签导致管理困难
requirement,开发者体验优化,需要添加Stream Chat示例、自动生成分词器配置、完善测试用例等用户体验改进
requirement,功能模块支持不足,需要支持新模块或功能（如DistCrossEntropy、RMSNorm、TP逻辑、MOE等）
requirement,文档不完善或缺失,需要更新或补充文档（如缺少日文翻译、标签、检查清单等）
requirement,性能未优化,需要优化执行效率（如解码内核性能低下、线性算子速度不足）
requirement,代码规范未遵循,需要调整代码风格或格式（如tokenizer模块风格不规范）
requirement,流程标准化不足,需要完善PR提交流程规范（如检查项缺失、自审机制不足）
requirement,测试覆盖不全面,需要补充测试验证（如离线连续批处理测试、NPU代码测试）
requirement,硬件适配性不足,需要支持新硬件（如NPU分支同步、IB 100g卡多节点训练）
requirement,接口兼容性不足,需要适配新版本或框架（如Python 3.10版本适配）
requirement,用户体验优化需求,需要改进界面或交互（如Leaderboard格式不统一）
bug,功能实现缺陷,现有功能存在逻辑错误（如评估指标选择不准确）
bug,资源配置错误,配置文件路径或结构命名错误
bug,功能扩展冲突,新功能与现有模块不兼容（如KVCache兼容性问题）
requirement,系统扩展性需求,需要增强系统扩展能力（如支持任意大小批处理、推测解码加速）
requirement,工程化能力不足,需要完善基础设施（如添加推理引擎、演示案例设计）
requirement,功能缺失,用户需要特定功能（如支持LoRa、NPU支持、KV-Cache管理、安全评估数据集等）以实现通信、硬件加速或评估需求
requirement,性能优化需求,需要改进缓存管理、重构代码、升级加速方法或优化内存使用以提升系统效率
requirement,文档不完善,缺少功能说明、API文档、用户指南或代码示例，导致使用困难或需完善标准流程
requirement,测试覆盖不足,缺乏测试案例（如模型前向准确性测试、Mistral测试），导致功能稳定性风险
requirement,代码冗余,存在未使用代码或弃用函数（如colo_init_context），导致系统冗余或维护成本增加
requirement,接口抽象需求,需要为多硬件平台（如NPU、GPU）提供统一接口或封装（如TensorRT-LLM引擎）
requirement,兼容性问题,需升级组件（如Triton kernels版本）或重构代码以适配新旧版本
question,配置问题,用户询问如何开启功能（如activation checkpoint offload）或在特定模块（如gemini插件）中实现张量并行
bug,并行处理问题,GPU/NPU并行处理异常（如P2P通信问题）导致需要热修复或内核更新
requirement,安全性需求,需添加安全评估数据集到评估框架（如ColossalEval）以增强模型安全性
requirement,功能弃用,因特定原因需撤销功能（如Mistral支持）或替换组件（如Adam优化器替换为SGD）
requirement,标准化需求,需重构代码示例、完善PR规范或统一命名以提高可维护性
requirement,功能缺失,用户希望支持Lora功能但当前框架缺乏相关API
requirement,性能优化需求,用户提出合并模块以优化推理性能或减少重复代码
requirement,动态批处理支持不足,用户请求在推理过程中支持动态批处理功能
requirement,训练流程自动化不足,用户希望实现训练中断后自动恢复并从检查点继续
requirement,硬件资源限制,用户询问在有限资源下持续预训练大模型的最低配置要求
requirement,数据处理功能不完善,用户反映长文本被截断并要求支持分段处理
requirement,接口灵活性不足,用户需要改进参数接口或增加额外参数支持
requirement,分布式训练支持不足,用户遇到NCCL超时问题并要求改进多机多卡训练稳定性
requirement,模型格式兼容性问题,用户需要将框架特定checkpoint转换为HuggingFace格式
requirement,监控功能缺失,用户希望在训练过程中实时显示TFLOPS或集成wandb支持
question,硬件配置疑问,用户询问预训练/微调大模型所需的最小CPU/GPU内存
question,功能实现细节不明确,用户询问知识重放阶段的具体步骤和数据集使用方法
question,环境依赖问题,用户需要明确特定工具链(如Ninja)的C++版本要求
question,模型加载兼容性问题,用户无法加载Meta原始权重或转换后的HuggingFace权重
bug,文档不完善,用户指出文档缺少功能说明图表或PR创建规范说明
bug,测试覆盖不足,用户指出需要更新测试脚本以支持新增功能
bug,代码结构混乱,用户反映现有代码需要重构以提高可维护性
bug,版本兼容性问题,用户指出新版本PyTorch导致环境配置问题
bug,功能实现不完整,用户发现现有功能不支持TP when PP=1的特定配置
bug,内存占用过高,用户反映训练过程中出现内存溢出问题
bug,功能设计不合理,用户质疑为什么使用broadcast_object而非send/recv API
requirement,功能模块缺失,需要支持新功能（如load balance、smoothquant、动态批处理等）
requirement,现有功能不支持特定模型或配置,无法适配特定模型（如Falcon、Mistral、Llama等）或配置（如FP16、O3模式）
requirement,文档缺失或过时,文档链接失效、说明不完整或未按规范更新
requirement,代码风格不符合规范,代码可读性差或不符合开发规范
requirement,缺乏示例或教程,用户缺少参考实现（如微调示例、Serving示例）
requirement,性能优化需求,模块效率低下或资源利用不均衡（如负载不均衡、推理性能不足）
requirement,流程或检查缺失,PR创建前检查或代码审查流程不完善
requirement,功能扩展需求,需扩展现有模块功能（如梯度累积、混合并行、权重保存等）
requirement,框架适配需求,需要支持新框架或环境（如Ray Serve、多GPU在线推理）
requirement,技术实现改进,需优化底层逻辑（如异步控制、稀疏矩阵运算、内核优化）
question,技术细节不明确,用户提问训练步骤、实现原理等具体技术细节
requirement,功能模块缺失,用户请求支持特定功能（如梯度累积、混合并行、自定义策略、新模型支持）
requirement,文档内容不完善或过时,用户提出文档补充/修订需求（如新增支持矩阵说明、更新并行策略用法）
requirement,代码规范不符合要求,贡献者提交代码前需修复风格问题（如CUDA模块标准化、PR检查清单完善）
requirement,现有实现性能不足,用户建议优化通信/计算逻辑（如替换线性操作为Shardformer、改进P2P通信）
requirement,框架扩展性不足,用户请求添加新模块（如评估管道、持续预训练项目、检索式对话系统）
question,用户对框架功能使用不熟悉,用户询问功能配置方法（如梯度累积启用、权重合并配置、并行策略结合）
requirement,代码维护需求,需清理过时代码/迁移文档（如utils模块整理、遗留文档更新）
bug,代码实现错误,triton kernel初始化报错
requirement,API接口不完整,类/方法缺少必要参数（如LazyTensor缺少from_pretrained、CosineAnnealing类缺last_epoch）
requirement,基准测试不完善,用户提出性能对比需求（如Gemini与Deepspeed显存占用对比）
requirement,功能缺失,用户请求添加新功能支持（如LazyInit加载、多个LLMs支持、openmoe训练等）
requirement,文档不完善,用户文档或README需要更新或补充具体内容
requirement,示例缺失,缺少特定模型（如Llama2、GPT2）的示例代码或更新
requirement,代码结构过时,需要重构旧代码（如移动模块至legacy、清理遗留代码）
requirement,配置方式不统一,参数设置不灵活（如基准测试使用绝对路径而非参数）
requirement,用户接口不兼容,不支持第三方库接口（如HuggingFace的from_pretrained）
requirement,性能优化需求,需要优化推断性能或训练效率（如添加TP推理引擎、改进schedule参数）
bug,内存泄漏,零优化模块存在内存泄漏导致内存消耗过高
requirement,测试环境配置不足,需要检查环境版本（如Triton/CUDA版本）以确保测试正确性
requirement,功能增强请求,用户建议改进现有功能（如新增损失函数、优化器支持、模型保存功能）
requirement,流程文档缺失,PR流程或模块使用流程的文档不完善
requirement,功能缺失,用户希望增加与HuggingFace的checkpoint IO兼容性
requirement,并行性支持不足,用户请求支持混合并行插件（如tp+zero1/pp）及相关测试
requirement,模型支持不足,需要添加对ChatGLM、LLAMA、Bloom等模型的推断/训练支持
requirement,内核功能不足,需要新增rms_norm、rotary_embedding等内核操作
requirement,优化器功能不完善,需支持梯度累积与ZeRO2的兼容
requirement,系统性能优化需求,要求优化GPTQ CUDA内核加速和KV缓存管理
requirement,代码结构问题,需要重构文件路径和解决代码重复问题
requirement,文档维护不足,需要更新Gemini文档和CI环境说明
requirement,测试覆盖不足,需为3D并行模型/混合并行场景添加测试用例
requirement,接口抽象不足,需要支持自定义后端通信的accelerator抽象
requirement,存储功能缺失,需要分片式checkpoint保存加载支持
requirement,部署支持不足,要求创建llama推断模板和chatglm推断服务
requirement,新版本适配需求,需要适配LLAMA2并进行相关检查
requirement,功能缺失或未支持,"请求支持新的功能或模型（例如：GPT2序列并行处理、TP+ZeRO功能、环形自注意力支持等）"
requirement,代码重构或优化需求,"需要重构现有模块以适应新需求（例如：interleaved schedule重构、替换命名不清晰的类、优化代码结构等）"
requirement,并行策略支持不足,"请求增加或改进并行策略（例如：支持TP+DP混合并行、序列并行、pipeline并行等）"
requirement,测试覆盖不足,"需要添加/更新测试用例（例如：添加8GPU分布式测试标记、验证优化应用效果、重写模型测试等）"
requirement,示例或文档不完善,"请求更新示例或补充文档（例如：适配新功能的BERT示例、添加docstrings、更新PR标准文档等）"
requirement,环境适配需求,"需要环境配置支持（例如：提供Docker文件、PyTorch/CUDA版本适配列表等）"
requirement,性能优化需求,"请求改进性能或功能优化（例如：使用Flash Attention 2、重叠输入收集与梯度计算等）"
requirement,多模型协同需求,"需要支持多模型联合操作（例如：多模型协同训练、混合并行性支持等）"
requirement,参数管理问题,"参数存储方式需要改进（例如：moe参数存储位置调整、placement policy策略优化等）"
requirement,分支管理需求,"涉及代码版本管理操作（例如：分支同步请求、提交精选到新分支等）"
requirement,功能缺失,"缺乏对Flash Attention 2的支持"
requirement,功能缺失,"不支持纯bf16训练"
requirement,功能缺失,"缺乏序列并行操作支持"
requirement,功能缺失,"未实现会话型训练支持"
requirement,功能缺失,"缺少sharded optimizer checkpointing功能"
requirement,代码整合需求,"需要合并flash attention分支到pipeline分支"
requirement,代码整合需求,"需要将shardformer模型合并到pipeline"
requirement,代码整合需求,"需要统一不同模型的测试整合"
requirement,性能优化,"需要优化推理前向计算效果"
requirement,性能优化,"需要重构低级zero模块提升性能"
requirement,版本适配,"需要支持新版Flash Attention v2.0.1"
requirement,测试覆盖不足,"缺少针对1F1B schedule的unit test"
requirement,测试覆盖不足,"需要为T5模型添加pipeline测试"
requirement,代码规范,"未遵循PR创建检查清单规范"
requirement,代码规范,"存在代码风格不符合标准问题"
requirement,架构设计,"T5结构复杂需要特殊pipeline分配算法"
requirement,新功能支持,"需要支持hierarchical Gemini"
requirement,工具链改进,"需要优化测试流程减少启动次数"
requirement,模块扩展,"需要为chat模块添加tensorboard支持"
requirement,模型兼容性,"需要添加GLM/ChatGLM模型支持"
requirement,缺乏对新模型的支持,用户请求添加对LLama、Blip2、SAM、T5、GPT2、OPT、BERT、Bloom、Whisper等模型的支持
requirement,功能模块不完善,用户提出需新增或完善Shardformer模块功能（如inplace sharding、lazy init、flash attention支持等）
requirement,性能优化需求,用户要求优化内存效率（如原地分片）、减少训练时间（如优化zero优化器步骤）、提升计算性能（如FP8混合精度训练）
requirement,代码规范与质量提升,用户提出需要清理代码风格、完善PR审查流程、更新文档（如benchmark和准确度文档）
requirement,并行处理能力扩展,用户请求支持3D并行插件、集成GPT模型pipeline策略
requirement,硬件/环境适配需求,用户需要新增Docker对SSH/RDMA的支持
requirement,测试覆盖不足,用户提出需补充Bert/OPT等模型的pipeline测试案例
bug,现有功能存在缺陷,现有参数分片方法导致内存效率低下、zero优化器通信机制导致性能瓶颈
requirement,注意力机制增强,用户要求为ColoAttention模块新增'attn mask'类型支持、实现paddedcausal类型mask
requirement,架构扩展需求,用户希望为Transformer Engine添加FP8混合精度训练支持
requirement,state_dict形式与Huggingface不兼容,无法保存或加载Shard形式的state_dict与Huggingface兼容
requirement,缺少Flash Attention支持,用户无法启用Flash Attention或性能未达预期
requirement,缺少性能基准测试,无法评估或对比Shardformer的实际性能表现
requirement,文档未同步更新,文档与主分支或实现细节不一致导致使用误导
requirement,缺少低级接口支持,低级Zero模块缺少state_dict或process_group传递接口
requirement,缺少开发SOP文档,用户不清楚如何参与开发或遵守标准操作流程
requirement,无法禁用张量并行,小模型无法在无需并行的情况下正常运行或优化
requirement,缺少Unsharded Optimizer Checkpoint,无法保存或加载非分片优化器的检查点
requirement,缺少no_sync功能,Zero Plugin中no_sync功能缺失导致同步问题
requirement,缺少示例代码,Shardformer与BERT微调的示例缺失导致使用门槛高
requirement,pipeline功能缺失,缺少1f1b调度、阶段管理或P2P通信支持
requirement,缺少融合归一化支持,合并归一化核未支持导致效率和性能下降
requirement,缺少DDP兼容性,Shardformer无法与PyTorch DDP集成导致分布式训练受限
requirement,功能模块未实现,VITT等高级功能模块缺失导致特定场景无法使用
bug,导入错误,未隐式导入transformers时报错或ImportError
bug,测试持续时间显示缺失,测试报告中无法展示单测或集成测试的耗时信息
bug,配置更新不一致,更新配置和提示文件后出现运行或兼容性异常
question,使用流程不明,用户对配置、接口或操作步骤存在疑问需补充说明
requirement,新 API 支持不足,示例代码无法使用新 API
requirement,核心功能缺失,模型（如 Bloom、BERT、GPT-2、T5、LLaMA）不被支持
requirement,文档不准确或不完整,用户对功能用法不清楚
requirement,插件兼容性不足,无法使用特定特性（如 no_sync、DTensor、优化器检查点）
requirement,硬件支持缺失,无法在特定设备（XPU）上运行
requirement,测试覆盖不足,缺少测试用例导致不确定功能正确性
requirement,组件集成需求,模块无法与其他组件（如 dist layer、TorchDDPPlugin）协同工作
bug,API 不兼容或断裂,调用失败或行为异常
bug,代码结构混乱且可读性差,难以维护或重构
bug,性能或负载不均衡,某些操作导致 OOM 或速度瓶颈
bug,保存/加载机制缺陷,state_dict 保存或加载错误
question,用户使用方式不明确,对如何使用或配置功能存在疑问
question,参数可选性不足,方法调用时参数强制要求不合理
requirement,API变更导致接口不兼容,相关示例和策略类无法正常使用需要重构
requirement,模块不支持特定模型(shardformer/LLM),无法在相应模型上运行或测试失败
requirement,缺少依赖包,安装或运行时报错找不到pytest、decorator等依赖
requirement,文档不一致或过时,README或示例文档链接失效或风格不统一
requirement,缺乏示例或教程,用户不清楚如何使用新功能或API
requirement,缺乏单元测试,功能准确性未验证或遇到未知错误
requirement,部署配置不完善(Docker/Simulator),无法运行时构建或镜像未发布
requirement,性能优化需求(缓存/分片),缓存提取效率低或分片参数分配不均匀
requirement,混合精度(BF16)支持缺失,low-level插件无法进行BF16混合精度训练
bug,代码分支不同步,同步PR导致冲突或模块版本不一致
bug,分布式资源分配不均衡,初始化时各rank负载不平衡
bug,大模型对象过大,保存/加载过程出现内存溢出或性能瓶颈
bug,版本不兼容(torch等),测试失败或功能异常
question,评估功能支持不足,evaluate接口无法评估GPT或参考结果不准确
requirement, 功能支持缺失, 无法使用 bfloat16/混合精度 或 shard checkpoint 等关键特性  
requirement, 文档不完整或过时, 安装、使用或 API 说明缺少步骤和示例导致用户困惑  
requirement, 缺少示例脚本或教程, 用户不知道如何在特定 GPU 上运行脚本或启用 flash attention  
requirement, 缺少测试用例, 新增模块或功能缺乏单元测试和集成测试覆盖  
requirement, 代码结构冗余或不规范, sample 文件夹或目录结构不符合开发流程需要重构  
bug, 拼写或命名错误, README、参数名或函数名拼写错误导致调用失败  
bug, 实现缺陷, Adam、DDP、FSDP 等优化器或并行插件在特定模式下功能异常或崩溃  
bug, 文档与实现不同步, API 更新后文档未同步，导致用户按文档操作时报错  
bug, checkpoint 保存/加载失败, save_sharded_model 等方法未正确覆盖或不支持分片模型检查点  
question, 使用方法或配置询问, 用户询问如何在框架中集成自定义模型训练流程或修改默认参数
requirement,文档过时或缺失,教程内容过时或缺乏导致用户无法使用功能
requirement,功能缺失,缺少分布式PPO训练器等功能导致用户提出增强需求
requirement,示例缺乏,缺少示例代码导致用户无法实现特定场景
requirement,CI/CD配置不完善,标签顺序或测试配置问题导致构建流程不稳定
bug,版本兼容问题,Torch版本升级导致CI测试失败
bug,API设计缺陷,接口或方法命名不规范导致使用和扩展困难
question,使用疑惑,用户对多轮对话训练或加载预训练模型方式存在疑问
question,维护计划不明确,用户对Ray实现的PPO算法未来维护情况不确定
question,支持范围不清晰,用户不确定是否可以部署或支持多模型/混合并行
bug,硬件兼容性问题,在1080ti/P40等显卡上运行ColossalAI或ColossalChat失败
bug,内存管理不足,运行Llama 13B或PPO训练时显存溢出或内存使用过高
bug,文档格式/拼写错误,README.md或1D tensor parallel文档存在拼写、格式或额外字符导致误导
bug,文档缺失,zero3 chunk搜索工具及zero optim模块缺少函数说明导致难以使用
bug,代码风格不一致,diffusion代码或send_message_to_lark.py中存在风格或拼写错误
requirement,插件功能缺失,Gemini/ColossalAI插件不支持shard检查点或懒惰初始化导致大型checkpoint无法处理
requirement,功能模块缺失,缺少数据库对话访问、无监督学习、Chat应用评估、Community Pipelines等功能
requirement,模型支持缺失,缺少ChatGLM-6B、BLOOM、seq2seq等模型训练或推理支持
requirement,参数配置缺失,train_prompts脚本缺少max_len，多tokenizer或verbose等参数功能
requirement,性能优化需求,需要低内存/8bits训练模式、zero2 CPU策略等显存友好训练方式
requirement,文档完善需求,社区模型支持指南、有限资源训练示例、贡献者列表等文档需补充或优化
requirement,发布管理需求,Docker镜像缺少latest标签、ColossalChat模型权重未发布
question,文档缺失,缺乏启动命令示例导致用户不知道如何启动框架
question,示例缺失,缺少示例代码导致用户不了解使用方法
question,使用疑问,不清楚特定功能调用方式导致用户提出操作疑问
requirement,功能缺失,缺少inplace add操作导致无法在tensor上就地加法
requirement,功能缺失,缺少断点续训功能导致模型训练无法中断续接
requirement,功能缺失,缺少sharded checkpoint支持导致无法加载Huggingface分片模型
requirement,平台兼容性缺失,不支持AMD GPU导致用户显卡无法使用
requirement,测试结构混乱,测试文件夹结构杂乱导致CI测试失败
requirement,示例过时,示例代码路径与重构后结构不匹配导致CI报错
requirement,插件适配,booster插件与CheckpointIO API不兼容导致插件无法使用
requirement,文档缺失,缺少暗黑模式功能说明导致用户无法切换主题
requirement,数据缺失,缺少训练数据集链接导致用户无法复现实验
requirement,参数增强,缺少vf_coef参数导致PPOTrainer无法计算value loss
requirement,功能缺失,缺少梯度累积功能导致Gemini DDP无法累积梯度
bug,功能缺陷,调用inplace add时报错导致操作失败
bug,导入错误,示例和教程导入旧版模块失败导致异常
bug,CI失败,重构后测试结构错误导致CI无法通过
bug,代码风格问题,未完成PR前检查列表导致代码风格不一致
bug,文档格式错误,README链接优化需求未按标准流程更新导致格式不规范
requirement,缺少功能实现,系统缺少所需功能，用户无法满足需求
requirement,缺少参数配置选项,无法设置重复惩罚导致生成质量低
requirement,缺少示例或教程,未提供示例文档用户无法参考使用方法
requirement,文档不完善或过时,文档链接失效或缺少说明导致文档不准确
requirement,缺少数据集或依赖引用,未添加数据集引用或模型支持影响可信度
requirement,缺少审核或检查流程,PR流程缺乏标准检查导致代码质量不佳
requirement,缺少代码风格规范,代码风格不统一导致可读性差
requirement,API设计混乱,接口使用复杂或不一致用户难以理解
requirement,性能或内存优化不足,内存成本高或运行效率低无法满足训练需求
requirement,命名不清晰,变量或类命名混淆导致理解困难
bug,兼容性或集成问题,模块无法适配新版本依赖运行时抛出异常
bug,缺少安全或内容审查机制,无法过滤不当内容可能输出违规信息
question,文档或API不清晰,用户对使用或配置提出疑问无法确定正确操作流程
requirement,缺少测试模型,测试模型库不完整
requirement,功能未支持,无法支持vit等特定模型
requirement,性能测试覆盖不足,benchmark无法支持大模型或特定模型
bug,分布式初始化逻辑错误,LazyInit功能在分布式环境下不正确
bug,内存溢出（OOM）问题,gather操作填充GPU导致OOM
requirement,文档不完善,文档缺少conda安装或Windows支持
bug,CI/CD配置错误,持续集成流程工作不正常
requirement,子模块版本同步缺失,需要手动更新子模块提交信息
question,API设计不友好,ChatGPT模块命名不便于查找
question,参数含义不清,max_length参数含义不明且无法扩展
requirement,缺少示例脚本,没有FP8示例脚本演示
question,特殊标记支持不足,自定义特殊标记无法适配不同分词器
requirement,功能缺失,Docker 镜像未遵循 opencontainers image-spec 导致质量不佳
requirement,文档不足,缺乏监督微调（SFT）使用示例导致用户无法进行微调
requirement,流程规范缺失,缺少标准 PR 提交流程导致文档和代码审查不规范
bug,设计缺陷,ShardingSpec 包含与张量分片无关信息
bug,兼容性问题,分片初始化无法兼容 model.from_pretrained() 导致模块无法正常加载
bug,命名混淆,LowLevelZeroOptimizer 中 forced_dtype 命名与实际行为不符
bug,性能瓶颈,auto-parallel intraop solver 求解时间过长
question,文档移除,API 文档被从官网页面移除导致用户疑惑
question,推理脚本缺失,缺少推理示例脚本导致无法进行模型推断
requirement,配置管理不清晰,多个配置文件未集中管理导致项目配置混乱
requirement,自动化缺失,子模块更新未自动同步导致引用不同步
requirement,回调支持缺失,缺少 checkpoint 保存回调导致无法保存训练状态
requirement,元信息缺失或不完整,autoparallel 运行时相关 API 调用失败或不支持
requirement,硬件加速支持缺失,无法在 Movidius Compute Stick 或 Pine64 Quartz64 等设备上运行加速
requirement,测试用例或文档注释缺失,功能不稳定或难以理解，缺乏示例和说明
requirement,并行特性支持不足,无法使用 Tensor Parallelism 或 Pipeline Parallelism 等并行功能
requirement,检查点保存格式不支持 FP16,在 GeminiDDP 模型中无法以 FP16 格式保存检查点
requirement,PR 创建流程或文档流程缺失,文档更新流程混乱，标准不统一导致遗漏或错误
requirement,代码风格或格式检查缺失,代码提交前未统一风格或缺少自动检查，导致可读性差或合并失败
bug,内存估算逻辑不准确,AutoChunk 在 UNet 中的内存估算结果错误
requirement,API 参数配置缺失,无法控制生成 API 返回的序列数量（如缺少 num_return_sequences 参数）
question,训练步骤不明确,用户对 ColossalAI ChatGPT 训练流程步骤存在疑问
requirement,调度器设计可读性差,Pipeline Scheduler 难以扩展和维护
bug,文档拼写或翻译错误,README.md 或服务文档中存在错别字或翻译不完整
requirement,文档缺失或过时,文档内容不完整或链接错误
requirement,代码风格不符合规范,可读性差并触发风格警告
requirement,功能缺失,无法满足用户期望的操作需求
requirement,并行策略顺序或选项不匹配,单元测试失败或并行处理错误
requirement,缺少meta信息补丁,autoparallel运行时异常
requirement,弃用代码长期未维护,示例缺失或存在冗余代码
requirement,持续集成流程缺失,无法自动化测试或跟踪版本更新
requirement,子模块引用更新无自动化,提交流程繁琐且易出错
requirement,文档发布流程过时,发布步骤失败或不够健壮
bug,直接引用私有成员变量,grad store更新不生效
bug,缺少meta信息支持,Softmax功能异常
question,对PR流程及标准格式不清楚,用户对PR创建及操作步骤存在困惑
requirement,文档过时,文档未及时更新导致用户对CI/CD流程或功能使用产生困惑
requirement,缺少通知机制,构建或测试失败时未收到通知，无法及时响应
requirement,构建流程不足,缺乏专门的构建检查步骤（如CUDA扩展、testpypi分发），导致构建或发布前未检出错误
requirement,自动化测试流程不完善,GPU资源占用检测、缓存机制等不完善，导致工作流偶尔失败或效率低下
requirement,功能缺失,缺少钩子集成、示例、报告生成、性能分析等功能
requirement,工作流配置不合理,文件命名和内存阈值设置不当导致流程维护困难或失败
requirement,报告不完整,社区报告或测试覆盖率报告缺少讨论统计或仅关注PR更改
bug,依赖不兼容,第三方库更新导致依赖失效或构建失败
bug,安装及示例错误,安装过程或示例代码存在错误导致安装失败或示例运行错误
question,使用疑问,用户对文档、工具链的使用流程或配置参数产生疑问
requirement,缺少对特定模块/模型的支持,无法使用目标模型或模块功能
requirement,CI/CD 脚本或流程缺失,无法自动测试或集成新功能
